iter	Logloss
0	0.5860844115
1	0.5054338661
2	0.4451889528
3	0.4066508483
4	0.3763780058
5	0.3504223554
6	0.3318668232
7	0.3157072649
8	0.305438999
9	0.2961567678
10	0.2913784253
11	0.2859350711
12	0.2832305481
13	0.2785066851
14	0.2748126849
15	0.272864033
16	0.2706488006
17	0.2685711934
18	0.2667675511
19	0.265649209
20	0.2645187544
21	0.2634011241
22	0.2628480624
23	0.2622443568
24	0.2615279892
25	0.2610994841
26	0.2606308272
27	0.2602384682
28	0.259953517
29	0.2596394322
30	0.2592731522
31	0.2589875104
32	0.2587212486
33	0.2585598393
34	0.2583739767
35	0.2582346567
36	0.2580496335
37	0.2579466775
38	0.2577966741
39	0.2577184637
40	0.2575695919
41	0.2574608665
42	0.2573989389
43	0.2572630508
44	0.2572126884
45	0.2571767282
46	0.2570813425
47	0.2570119402
48	0.256930861
49	0.2568630843
50	0.2567959823
51	0.2567326681
52	0.2566816948
53	0.2566383449
54	0.2565484204
55	0.2565051183
56	0.2564616038
57	0.2564180414
58	0.2563774912
59	0.256306256
60	0.2562613762
61	0.2562108704
62	0.256164657
63	0.2561043975
64	0.2560550126
65	0.2560146909
66	0.255969046
67	0.2559087333
68	0.2558612344
69	0.2558099636
70	0.2557791086
71	0.2557510056
72	0.2557165276
73	0.2556842861
74	0.2556451702
75	0.2556212003
76	0.2555800976
77	0.2555458852
78	0.2555130115
79	0.2554724188
80	0.2554378717
81	0.2554140399
82	0.2553882796
83	0.2553412854
84	0.2553129805
85	0.2552919005
86	0.2552610403
87	0.2552306741
88	0.255197487
89	0.2551720455
90	0.2551470981
91	0.2551243447
92	0.255095381
93	0.2550741311
94	0.255049088
95	0.2550329806
96	0.2550063012
97	0.2549770666
98	0.2549452183
99	0.2549310021
