iter	Passed	Remaining
0	50	5036
1	102	5039
2	155	5041
3	208	5008
4	256	4873
5	308	4832
6	361	4805
7	426	4901
8	483	4889
9	540	4864
10	594	4807
11	643	4720
12	680	4554
13	730	4488
14	770	4365
15	814	4274
16	863	4215
17	914	4165
18	967	4125
19	1015	4061
20	1067	4016
21	1113	3948
22	1160	3884
23	1207	3823
24	1258	3776
25	1308	3723
26	1359	3676
27	1417	3643
28	1460	3576
29	1501	3502
30	1552	3454
31	1598	3396
32	1647	3344
33	1699	3299
34	1749	3248
35	1796	3193
36	1848	3148
37	1903	3106
38	1971	3083
39	2017	3025
40	2071	2980
41	2120	2928
42	2170	2876
43	2223	2829
44	2257	2759
45	2296	2695
46	2337	2636
47	2377	2575
48	2418	2516
49	2466	2466
50	2515	2417
51	2569	2371
52	2622	2325
53	2673	2277
54	2725	2230
55	2775	2180
56	2823	2129
57	2870	2078
58	2923	2031
59	2979	1986
60	3031	1938
61	3088	1892
62	3142	1845
63	3188	1793
64	3236	1742
65	3287	1693
66	3331	1641
67	3371	1586
68	3412	1533
69	3456	1481
70	3490	1425
71	3542	1377
72	3579	1324
73	3623	1272
74	3674	1224
75	3727	1177
76	3783	1130
77	3832	1080
78	3885	1032
79	3939	984
80	3991	936
81	4042	887
82	4100	839
83	4154	791
84	4214	743
85	4261	693
86	4301	642
87	4349	593
88	4390	542
89	4435	492
90	4480	443
91	4544	395
92	4587	345
93	4628	295
94	4686	246
95	4754	198
96	4817	148
97	4870	99
98	4909	49
99	4966	0
